,start,distance,speed
motorcycle2,"(6916.560251754976, 2376.9122003513316)",68.56531294122475,"[0.0, 4.662056063767523, 8.891918191686273, 14.702614774229005, 14.56789071978736, 12.90141767663616, 12.839415515118421]"
truck3,"(2726.45, 1786.11)",0.8946756701567207,"[0.0, 0.8946756701567211]"
truck4,"(1384.82, 3933.46)",0.0,[0.0]
bus3,"(3069.3739107611545, 1883.2816535433071)",61.78695869358257,"[0.0, 0.7520809934008866, 1.550315536977723, 2.367229254869744, 3.2801717906724663, 3.952400565287099, 5.074068525759504, 5.982573473593221, 7.121701855212451, 7.785667665582151, 7.936603020057082, 8.193271239819005, 7.790874772351235]"
motorcycle3,"(1626.12, 3714.43)",37.33071753512178,"[0.0, 4.683748577255756, 9.70184717187658, 12.158171075461642, 10.786950710527808]"
bus4,"(8663.790810658325, 2313.551204133805)",50.67986193993129,"[0.0, 0.825804613949731, 1.4838033474516124, 2.6319117343984546, 3.540448078885675, 4.55993421105668, 5.554140007775278, 6.440614700177686, 7.527551905810834, 8.550310155143963, 9.565343185281382]"
motorcycle4,"(689.6699383989052, 3976.802680072052)",14.657408941537142,"[0.0, 5.598962613847107, 9.058446327690035]"
motorcycle5,"(1637.98, 4188.81)",0.0,[0.0]
bus6,"(3227.61, 1749.75)",24.390738676534973,"[0.0, 0.8555430329404772, 1.540625567547977, 2.2872363581322137, 3.1738529328256853, 4.341485947323964, 5.501288720732556, 6.690706117032097]"
bus7,"(4533.640437756499, 6242.104254445964)",14.145817417697982,"[0.0, 0.7389417691156268, 1.9135263700503855, 2.9875972060952334, 3.8055763341486455, 4.700175738288089]"
bus8,"(2958.8641418019115, 3563.4615680041875)",6.855269110249354,"[0.0, 1.1954651320818812, 2.301547729410231, 3.358256248757243]"
bus9,"(6818.21, 1517.82)",0.8723969507496797,"[0.0, 0.8723969507496804]"
