Edge ID,Capacity (vehicles/hour)
:10002125111_w0,2
:10002125112_w0,2
:10002125115_w0,2
:10002125116_w0,2
:10002134419_w0,2
:10002134420_w0,2
:10002134424_w0,2
:10002134425_w0,2
:10002134428_w0,2
:10002134440_w0,2
:10002142917_w0,2
:10002142920_w0,2
:10002142921_w0,2
:10002142930_w0,2
:10002142931_w0,2
:10002142942_w0,2
:10002142943_w0,2
:10002142950_w0,2
:10002150958_c0,2
:10002150958_w0,2
:10002150958_w1,2
:10002150962_c0,2
:10002150962_w0,2
:10002150962_w1,2
:10002150965_w0,2
:10002150966_w0,2
:10002150969_w0,2
:10002150970_w0,2
:10002150973_w0,2
:10002150980_w0,2
:10002150981_w0,2
:10002150984_w0,2
:10002150986_w0,2
:10002150989_w0,2
:10002150993_w0,2
:10002150997_w0,2
:10002151008_w0,2
:10002151011_w0,2
:10002151012_w0,2
:10002151060_c0,2
:10002151060_w0,2
:10002151060_w1,2
:10002151063_w0,2
:10002151066_w0,2
:10002151067_w0,2
:10002151076_w0,2
:10002151079_w0,2
:10002151080_w0,2
:10002151083_w0,2
:10002151084_c0,2
:10002151084_w0,2
:10002151084_w1,2
:10002151087_w0,2
:10002157375_w0,2
:10002157376_c0,2
:10002157376_w0,2
:10002157376_w1,2
:10002157377_c0,2
:10002157377_w0,2
:10002157377_w1,2
:10002157378_c0,2
:10002157378_w0,2
:10002157378_w1,2
:10002157381_w0,2
:10002157382_c0,2
:10002157382_w0,2
:10002157382_w1,2
:10002157385_w0,2
:10002157386_w0,2
:10002157389_w0,2
:10002157390_c0,2
:10002157390_w0,2
:10002157390_w1,2
:10002157393_w0,2
:10002163711_w0,2
:10002163715_w0,2
:10002176758_w0,2
:10002176762_w0,2
:10002176766_w0,2
:10002176770_w0,2
:10002176774_w0,2
:10002177427_w0,2
:10002177430_w0,2
:10002177431_w0,2
:10002177434_w0,2
:10002177435_w0,2
:10002177439_w0,2
:10002177443_w0,2
:10002177446_w0,2
:10002177449_w0,2
:10002177450_w0,2
:10002177453_w0,2
:10002177454_w0,2
:10002177467_w0,2
:10002177469_w0,2
:10002177472_w0,2
:10002177473_w0,2
:10002181219_w0,2
:10002181221_w0,2
:10002181226_w0,2
:10002181227_w0,2
:10002181232_w0,2
:10002181235_w0,2
:10002181240_w0,2
:10002181243_w0,2
:10002181244_w0,2
:10002205875_w0,2
:10002205877_w0,2
:10002205879_w0,2
:10002205880_w0,2
:10002205881_w0,2
:10002205882_w0,2
:10002205885_w0,2
:10002205889_w0,2
:10002205891_w0,2
:10002205893_w0,2
:10002209442_w0,2
:10002209448_w0,2
:10002209449_w0,2
:10002209451_w0,2
:10002209453_w0,2
:10002209459_w0,2
:10002209460_w0,2
:10002209469_w0,2
:10002209472_w0,2
:10002209475_w0,2
:10002209478_w0,2
:10002209482_w0,2
:10002225118_w0,2
:10002252458_c0,2
:10002252458_w0,2
